Date,Team_home,FGA_home,FGM_home,FG%_home,3PA_home,3PM_home,3P%_home,FTA_home,FTM_home,FT%_home,OREB_home,DREB_home,REB_home,AST_home,TO_home,STL_home,BLK_home,PF_home,Points_home,Team_away,FGA_away,FGM_away,FG%_away,3PA_away,3PM_away,3P%_away,FTA_away,FTM_away,FT%_away,OREB_away,DREB_away,REB_away,AST_away,TO_away,STL_away,BLK_away,PF_away,Points_away,Point_diff
2024-11-07,CHI,88,47,0.5340909090909091,36,15,0.4166666666666667,15,10,0.6666666666666666,10,22,32,30,9,4,13,20,119,MIN,93,51,0.5483870967741935,38,16,0.42105263157894735,17,17,1.0,10,30,40,29,7,4,13,17,135,-16
2024-11-06,SAC,90,42,0.4666666666666667,35,10,0.2857142857142857,32,28,0.875,15,32,47,26,7,5,9,13,122,TOR,88,43,0.48863636363636365,34,10,0.29411764705882354,15,11,0.7333333333333333,8,26,34,25,7,1,11,23,107,15
2024-11-06,PHX,84,42,0.5,43,18,0.4186046511627907,18,13,0.7222222222222222,10,36,46,29,5,6,16,14,115,MIA,92,40,0.43478260869565216,34,13,0.38235294117647056,20,19,0.95,13,30,43,27,12,3,10,16,112,3
2024-11-06,NOP,88,42,0.4772727272727273,27,13,0.48148148148148145,28,25,0.8928571428571429,8,25,33,21,8,8,9,14,122,CLE,96,52,0.5416666666666666,35,17,0.4857142857142857,13,10,0.7692307692307693,12,34,46,33,6,10,11,21,131,-9
2024-11-06,MEM,93,48,0.5161290322580645,34,17,0.5,23,18,0.782608695652174,12,38,50,28,5,6,18,17,131,LAL,93,41,0.44086021505376344,48,15,0.3125,21,17,0.8095238095238095,9,28,37,23,10,1,11,18,114,17
2024-11-06,LAC,72,41,0.5694444444444444,28,12,0.42857142857142855,19,16,0.8421052631578947,8,21,29,27,12,1,17,16,110,PHI,73,40,0.547945205479452,25,7,0.28,19,11,0.5789473684210527,10,22,32,19,10,2,20,22,98,12
2024-11-06,IND,76,41,0.5394736842105263,26,12,0.46153846153846156,26,24,0.9230769230769231,4,32,36,21,7,3,11,24,118,ORL,82,42,0.5121951219512195,25,7,0.28,26,20,0.7692307692307693,10,28,38,26,6,5,16,22,111,7
2024-11-06,HOU,96,54,0.5625,27,10,0.37037037037037035,15,9,0.6,11,34,45,28,10,5,11,13,127,SAS,83,37,0.4457831325301205,36,14,0.3888888888888889,16,12,0.75,8,33,41,20,6,6,19,13,100,27
2024-11-06,DEN,89,42,0.47191011235955055,38,16,0.42105263157894735,33,24,0.7272727272727273,13,42,55,34,8,6,18,22,124,OKC,100,44,0.44,40,16,0.4,23,18,0.782608695652174,13,34,47,29,15,6,14,28,122,2
2024-11-06,DAL,93,45,0.4838709677419355,38,12,0.3157894736842105,21,17,0.8095238095238095,9,38,47,33,11,4,15,19,119,CHI,86,36,0.4186046511627907,42,12,0.2857142857142857,23,15,0.6521739130434783,14,37,51,25,8,2,22,17,99,20
2024-11-06,CHA,90,39,0.43333333333333335,44,14,0.3181818181818182,16,16,1.0,8,39,47,22,5,4,12,16,108,DET,94,46,0.48936170212765956,32,10,0.3125,9,5,0.5555555555555556,6,40,46,34,5,4,10,20,107,1
2024-11-06,BOS,90,38,0.4222222222222222,54,19,0.35185185185185186,21,17,0.8095238095238095,13,34,47,22,5,3,12,18,112,GSW,91,42,0.46153846153846156,34,14,0.4117647058823529,24,20,0.8333333333333334,15,38,53,22,6,5,11,19,118,-6
2024-11-06,ATL,100,45,0.45,38,15,0.39473684210526316,22,16,0.7272727272727273,16,32,48,31,12,4,8,14,121,NYK,84,41,0.4880952380952381,47,22,0.46808510638297873,15,12,0.8,7,34,41,29,5,5,15,18,116,5
2024-11-04,WAS,96,42,0.4375,43,10,0.23255813953488372,21,18,0.8571428571428571,8,39,47,29,4,8,9,23,112,GSW,97,44,0.4536082474226804,37,12,0.32432432432432434,34,25,0.7352941176470589,16,40,56,29,5,7,6,20,125,-13
2024-11-04,PHX,82,42,0.5121951219512195,32,11,0.34375,26,23,0.8846153846153846,9,34,43,24,6,4,14,16,118,PHI,87,40,0.45977011494252873,51,20,0.39215686274509803,18,16,0.8888888888888888,9,29,38,27,10,4,14,22,116,2
2024-11-04,OKC,85,39,0.4588235294117647,31,12,0.3870967741935484,16,12,0.75,5,37,42,23,12,4,15,21,102,ORL,82,29,0.35365853658536583,34,5,0.14705882352941177,27,23,0.8518518518518519,7,34,41,20,12,5,18,16,86,16
2024-11-04,NOP,84,38,0.4523809523809524,35,10,0.2857142857142857,16,14,0.875,10,24,34,24,5,3,12,20,100,POR,84,46,0.5476190476190477,29,10,0.3448275862068966,24,16,0.6666666666666666,11,27,38,21,10,5,11,15,118,-18
2024-11-04,MIN,79,39,0.4936708860759494,38,18,0.47368421052631576,26,18,0.6923076923076923,9,36,45,23,7,8,15,19,114,CHA,88,35,0.3977272727272727,42,10,0.23809523809523808,16,13,0.8125,9,29,38,19,10,1,14,22,93,21
2024-11-04,MIA,85,37,0.43529411764705883,36,15,0.4166666666666667,30,21,0.7,8,28,36,24,9,6,10,15,110,SAC,86,44,0.5116279069767442,27,10,0.37037037037037035,15,13,0.8666666666666667,11,28,39,23,5,4,12,28,111,-1
2024-11-04,LAC,90,41,0.45555555555555555,37,19,0.5135135135135135,17,12,0.7058823529411765,16,28,44,25,6,7,10,21,113,SAS,86,38,0.4418604651162791,41,11,0.2682926829268293,19,17,0.8947368421052632,12,33,45,22,9,10,10,16,104,9
2024-11-04,HOU,88,43,0.48863636363636365,33,8,0.24242424242424243,18,15,0.8333333333333334,11,39,50,21,4,6,10,20,109,NYK,88,34,0.38636363636363635,28,11,0.39285714285714285,21,18,0.8571428571428571,13,26,39,20,6,4,10,18,97,12
2024-11-04,DET,96,45,0.46875,34,8,0.23529411764705882,22,17,0.7727272727272727,17,38,55,22,6,5,12,25,115,LAL,85,37,0.43529411764705883,25,9,0.36,27,20,0.7407407407407407,7,30,37,28,8,1,13,16,103,12
2024-11-04,DEN,83,41,0.4939759036144578,31,10,0.3225806451612903,38,29,0.7631578947368421,14,30,44,29,9,10,17,21,121,TOR,103,47,0.4563106796116505,39,13,0.3333333333333333,18,12,0.6666666666666666,14,27,41,38,12,3,13,27,119,2
2024-11-04,DAL,89,46,0.5168539325842697,36,15,0.4166666666666667,25,20,0.8,5,33,38,29,4,3,8,18,127,IND,95,54,0.5684210526315789,32,13,0.40625,20,13,0.65,7,39,46,30,5,3,9,16,134,-7
2024-11-04,CLE,91,46,0.5054945054945055,37,17,0.4594594594594595,13,7,0.5384615384615384,5,34,39,28,10,4,10,15,116,MIL,86,42,0.4883720930232558,35,17,0.4857142857142857,15,13,0.8666666666666667,7,42,49,21,6,6,14,15,114,2
2024-11-04,CHI,95,45,0.47368421052631576,37,14,0.3783783783783784,25,22,0.88,10,26,36,36,7,7,9,23,126,UTA,89,48,0.5393258426966292,36,16,0.4444444444444444,30,23,0.7666666666666667,12,37,49,35,3,6,12,18,135,-9
2024-11-04,BKN,84,40,0.47619047619047616,36,13,0.3611111111111111,18,13,0.7222222222222222,12,25,37,28,7,1,13,22,106,MEM,91,43,0.4725274725274725,30,8,0.26666666666666666,13,10,0.7692307692307693,13,31,44,29,5,8,14,16,104,2
2024-11-04,ATL,89,37,0.4157303370786517,31,6,0.1935483870967742,16,13,0.8125,8,35,43,23,9,3,19,13,93,BOS,99,48,0.48484848484848486,55,18,0.32727272727272727,13,9,0.6923076923076923,11,39,50,27,15,7,12,14,123,-30
2024-11-03,NOP,90,39,0.43333333333333335,38,16,0.42105263157894735,20,17,0.85,18,25,43,22,6,3,18,16,111,ATL,88,50,0.5681818181818182,36,15,0.4166666666666667,12,11,0.9166666666666666,10,31,41,29,10,3,16,17,126,-15
2024-11-03,DAL,85,42,0.49411764705882355,32,10,0.3125,23,14,0.6086956521739131,12,41,53,25,8,5,18,22,108,ORL,93,31,0.3333333333333333,41,8,0.1951219512195122,19,15,0.7894736842105263,13,30,43,19,8,4,14,22,85,23
2024-11-03,BKN,71,32,0.4507042253521127,31,9,0.2903225806451613,31,19,0.6129032258064516,4,23,27,23,9,3,13,24,92,DET,77,37,0.4805194805194805,36,11,0.3055555555555556,26,21,0.8076923076923077,9,38,47,25,4,6,17,25,106,-14
2024-11-02,TOR,95,46,0.4842105263157895,37,17,0.4594594594594595,31,22,0.7096774193548387,12,34,46,31,13,3,19,25,131,SAC,100,46,0.46,40,10,0.25,32,26,0.8125,15,34,49,21,16,3,18,22,128,3
2024-11-02,SAS,83,43,0.5180722891566265,42,13,0.30952380952380953,17,14,0.8235294117647058,7,37,44,32,6,5,11,16,113,MIN,82,39,0.47560975609756095,37,11,0.2972972972972973,20,14,0.7,6,26,32,21,7,2,12,16,103,10
2024-11-02,PHX,93,35,0.3763440860215054,52,17,0.3269230769230769,22,16,0.7272727272727273,13,50,63,29,4,8,12,10,103,POR,111,37,0.3333333333333333,43,14,0.32558139534883723,11,9,0.8181818181818182,14,42,56,17,10,5,6,18,97,6
2024-11-02,PHI,89,36,0.4044943820224719,46,19,0.41304347826086957,20,16,0.8,8,25,33,22,11,5,14,19,107,MEM,87,48,0.5517241379310345,27,12,0.4444444444444444,21,16,0.7619047619047619,11,41,52,35,9,6,16,22,124,-17
2024-11-02,MIL,89,43,0.48314606741573035,39,18,0.46153846153846156,15,9,0.6,10,35,45,24,3,3,13,23,113,CLE,91,44,0.4835164835164835,38,15,0.39473684210526316,15,11,0.7333333333333333,10,35,45,31,3,2,7,20,114,-1
2024-11-02,LAC,79,32,0.4050632911392405,35,11,0.3142857142857143,26,17,0.6538461538461539,10,40,50,23,10,7,20,17,92,OKC,84,36,0.42857142857142855,39,16,0.41025641025641024,19,17,0.8947368421052632,3,38,41,25,11,3,12,22,105,-13
2024-11-02,HOU,107,44,0.411214953271028,45,15,0.3333333333333333,24,18,0.75,18,31,49,27,10,6,11,32,121,GSW,78,40,0.5128205128205128,32,15,0.46875,50,32,0.64,9,38,47,26,5,4,14,22,127,-6
2024-11-02,DEN,99,48,0.48484848484848486,32,16,0.5,23,17,0.7391304347826086,19,33,52,33,14,1,17,25,129,UTA,77,32,0.4155844155844156,42,13,0.30952380952380953,31,26,0.8387096774193549,8,31,39,24,7,8,22,22,103,26
